customer_message,brand_reply,true_intent,should_escalate,reply_checklist,human_grounded,human_relevant,human_tone,thread_id
i want to sign up for premium but i cant login to my account on the app? I can sign in on internet but havin problems with the app?,Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,5,5,2041338
id::93__credit_card__: My account was hacked/compromised. I’ve regained access and changed my password but I noticed there w,Hey there! Looks like your tweet is incomplete. Can you resend that for us? We'll be here waiting /RB,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,5,460198
I do not receive an email from you guys when I request a reset password. Haven’t been able to use my premium account in days. Ive checked all email accounts and spam folders. No email.,"Hi Matt, help's arrived! Could you DM us your username and email address? We'll take a look backstage /JQ",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,5,2910952
"Hello. I want to cancel my premium subscription, but I deleted my Facebook a while ago and I am unable to log in. Please help!",Hey Kimberly! Can you DM us your account's email address? We'll take a look backstage /SU,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,5,5,886015
I need help cancelling my account. I do not remember my email or password.,Hi there! We'll continue helping out from here. Can you DM us any email addresses or usernames you might have used to create an account? We'll search under the hood 🔍 /NJ,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,5,5,2901234
"I cant login to my account, and someone changed the email to reset the password. is there a phone # to contact you guys?",2: at > select Logging in > I can't log in to Spotify > I STILL NEED HELP /MG,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,4,4,378240
You guys having web player issues by any chance? Keeps making me login over and over.,"Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,1695014
"hey someone has changed the email address and password of my account, can you help me out please","Hey Adam, we're sorry to hear that! Can you DM us your account's username and email address? We'll take a look backstage /JX",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,2141724
I’m locked out of my account 😟,We see. Could you DM us your account's email address and username? We'll take a look backstage 🙂 /CG,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,5,1719028
Not helpful. I found this twitter handle on the website. Whoever is getting in ie changing the password before we can. Changed email PW. Need more support or to stop paying for premium.,"We understand! Just to clarify, did you fill out the contact form? That will connect you with our Accounts Team. They'll help secure and restore your account. Keep us in the loop /JX",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,3,5,466064
I need help! My app isnt working. I let logged me out and when I hit the login button it doesn’t do anything.,"Hey Heather, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MQ",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,5,1888382
I cannot login to my Spotify premium account for over a week now and I need help logging back in. I can't even reset my pw.,"Hey there, help's here! Can you DM us your account's email address and username? We'll take a look backstage 🙂 /CG",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,4,2008211
I don't know what my email address is but i know my username and need to cancel a subscription,Hi Sophie! Could you send us a DM with that username? We'll do our best to help out /NJ,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,5,5,1175724
"someone logged into my account and changed the email address, now I can't even log in to take out my CC info. What can I do?","Hey Michael, we’re sorry to hear that. Don't worry, you can follow the steps at for what to do next /RR",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,5,286426
. I am getting error code: 404 when I try to sign in to any app.,"Hi Ryan! Help's here. Can you DM us your account's username or email address, along with a screenshot of the error message you're getting? We'll check things backstage /MU",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,5,534626
Spotify username msolby. Spotify devotee. Can you help customer support solve my login problems. Days without music is no fun.,"Hey Marc, help's here! Could you send us a DM with your account's email address? We'll make sure to help you log back in to your account 🙂 /VA",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,5,565379
"Hi, for some reason we are unable to log in to our spotify account. I have the username and password which wouldn't work so I sent a reset request ,but from some reason it has not been sent to the account linked with spotify?","Hey there! Don't worry, we're here to help. Can you DM us your account's email address or username? We'll take a look backstage /MT",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,564551
uh yea can u let me change my username pls ?? terrible mistake i made back then,Hey help's here! Can you DM us your account's email address? We'll take a look backstage /GK,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,5,4,688073
"my friend just signed up and we learned that usernames are now system generated only, she has a 25 random character username",Hey! The cavalry's here. Can you DM us her account's email address? We'll take a look under the hood /JS,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,1592174
"Trying to log in to the app through Facebook on my Samsung Galaxy S7 Edge, says Facebook error occurred, please try again. Tried the generate app passwords trick but when I enter the generated password it won't accept the details I give it.",Hey Daniel! Can you DM us your account's username and email address? We'll take a look backstage /JL,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,2309014
i cant login to my premium for family account ... my profile is showing as free for some reason,Hey! Can you DM us your account's username and email address? We'll take a look behind the scenes /JL,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,1098205
Email verification. I'm getting email for someone who entered the wrong email. With enough flags your email will be spam,Hey there! Can you DM us the account's email address? We'll take a look under the hood /AN,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,3,4,400270
PS my username is 7852petegarrett,Hi Pete! Can you send us a DM with the usernames or email addresses of the members you're trying to add? We'll take a look backstage /HR,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,2881187
I am having trouble changing my password! There is an unknown email address on my account! Please help!!,Hey! Sorry to hear that. Could you DM us your username or email address? We'll check things out backstage /Q,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,1978829
someone’s hacked my account and apparently there’s no way for me to change my password! #crock #fixthis #givememumoneyback,Hey Nichole! We’re sorry to hear that. We'd suggest checking out for what to do next /FR,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,1659830
"Voted for it, but I cannot stress enough how bad of a decision it is to ignore 2FA at this point in time. I hope they change their minds.","Not to worry! We'll pass on your feedback. For anything else, we're just a tweet away /JP",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,5,5,1350244
"hai , mau nanya nih, akun spotify saya kok ga bisa login pas diluar negeri ya?? ada notifikasi kalau harus masukin lokasi gitu diwebsitenya.. bisa dibantu untuk penjelasannya ? thanks :)","Hey Yudhy! We can help out in English via Twitter, but we also have Indonesian support via email at /FR",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,4,2527146
Hi! I can't log in to my account to cancel it. Please help! My UN is ivette0327. I tried reseting PW. No luck.,Hey Ivette! We have some important info to share. Can you send us a DM? /AR,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,3,4,2626076
can’t login! Too many redirects error message,"Hey there, we're sorry to hear that! Can you DM us your account's email address and username? We'll take a look backstage /JX",account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,4,4,3,1862231
"hi, my last fm won't work on my spotify mobile, it says wrong uname/password. While It works just fine on desktop. Can u help?",Hey! Can you change your Last.fm password and give it another try? Let us know how you get on /YM,account_access,escalate,Acknowledge login issue; suggest password reset or account recovery; escalate if unresolved,5,5,5,968814
How to get your podcast on and how much does it cost? #podcasts,"Hey Max! It’s not currently possible to submit your own podcast content to Spotify, but add your Kudos here: /KL",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1264085
Smh I'm trying to give Spotify my money but they won't take it!!,"Hey there, we'd love to help! Can you DM us your account's username or email address? We'll take a look backstage /JP",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1858001
i need help my debit card was lost i got a new one but it won't allow me to update payment,Hey Dreeya! We've just sent you a bit more info over DM. We'll carry on helping out there /KB,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1701217
hubby and I trying to combine our Spotify and work off that turkey. Can't do w/o music! Can't add him to the plan - clicking to add family member & blank screen. On Mac OS over web.,"Hey Peggy! Just let the bird chill while we work this out, okay? Can you DM us your and your hubby's usernames or email addresses? We'll do our best to help /TK",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,175484
"my premium sub is not working. Included in phone plan, provider says its u the prob. Help? Cant find a f-ing phone or chat # 4 U.",Hey Augusta! We don't have telephone support but we can help you here. Can you DM us your account's email address? We'll look into it /GS,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,397631
"I purchased a student discount account, however in my payment transactions, it had paid for both the student account and the yearly package.","Hey, help's here! Can you DM us your account's email address? We'll check backstage /GK",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,948889
The family member I’m trying to invite to my plan doesn’t receive the email despite several re-sends?,Hey Kasper! Can you DM us the email addresses for both of your accounts? We'll take a look backstage /SJ,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1174968
For YEARS I've been paying for Spotify. I don't USE Spotify...EVER. Please cancel my scrip and refund the $ you just took . Thanks. Rich Briere 01040,2: Just be careful not to include your 16-digit card number for security. We'll be waiting /JE,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,273603
"Hey I was trying to upgrade to premium on the App but I couldn’t find anywhere to do it, guess you don’t want my money.","Hey Mike, help's arrived! Have you tried upgrading to Premium here: Let us know how it goes /DD",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2708578
wanna tell me why i’m being billed even though i’m only on a free trial....,"Hey there, help's here! Could you DM us your account's username and email address? We'll take a look backstage /JX",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,654649
